Rank,Country,Index Score
188,Guinea-Bissau,90.9
187,Eritrea,89.2
186,Angola,87.7
185,Zambia,86.4
184,Palestine,85.8
183,Malawi,85.6
182,Burundi,85.4
181,Venezuela,83.9
180,Lesotho,82
179,Sudan,81.4
178,Benin,80
177,Sierra Leone,77.3
176,Togo,76.9
175,Rwanda,76.3
174,South Sudan,76.3
173,Gambia,75.3
172,Haiti,74.3
171,Niger,74.2
170,Uganda,73.9
169,Lebanon,73.1
168,Tanzania,71.4
167,Kenya,71.4
166,Senegal,71.2
165,Mali,70.6
164,Guatemala,70.5
163,Burkina Faso,70.5
162,Yemen,69.4
161,Bolivia,69.3
160,Liberia,68.7
159,Comoros,68.4
158,Côte d’Ivoire,68
157,Sao Tome and Principe,67.5
156,Zimbabwe,66.9
155,Myanmar,66.3
154,Honduras,66.2
153,Guinea,66.1
152,Madagascar,65.5
151,Syria,65.1
150,Djibouti,64.7
149,Gabon,64.7
148,Chad,64.4
147,Jordan,64.3
146,Mauritania,64
145,Pakistan,63.9
144,Ghana,63.8
143,Cameroon,63.6
142,El Salvador,63.4
141,Nepal,63.1
140,Central African Republic,63.1
139,Iran,62.8
138,Ecuador,62.2
137,Kiribati,62.2
136,Bangladesh,62
135,Sri Lanka,61.1
134,Nigeria,60.7
133,Ethiopia,60.6
132,Mozambique,60.5
131,Cabo Verde,60
130,Ukraine,59.8
129,Namibia,58.5
128,Papua New Guinea,58.3
127,Nicaragua,58
126,Peru,57.9
125,Cambodia,57.7
124,Morocco,57.7
123,Congo,57.5
122,Moldova Republic of,57.2
121,Cyprus,56.9
120,South Africa,56.7
119,Belize,56.4
118,Congo DR,56.3
117,Argentina,55.7
116,Bhutan,55.5
115,Somalia,55.2
114,Costa Rica,54.8
113,Trinidad and Tobago,54.6
112,Bahamas,54.3
111,Dominican Republic,54.2
110,Dominica,53.9
109,Timor-Leste,53.8
108,Iraq,53.8
107,Eswatini,53.6
106,Suriname,53.4
105,Egypt,53.3
104,Uzbekistan,53.1
103,Tunisia,52.9
102,Saint Vincent and the Grenadines,52.5
101,Mongolia,52.5
100,Colombia,52.3
99,Afghanistan,52.2
98,Azerbaijan,52.1
97,Solomon Islands,52
96,Uruguay,51.9
95,Paraguay,51.4
94,Antigua and Barbuda,51.3
93,Belarus,50.5
92,Nauru,50.3
91,North Macedonia,50.3
90,Saint Lucia,50.3
89,Tajikistan,49.7
88,Brazil,49.6
87,Lao PDR,49.5
86,Libya,49.5
85,Jamaica,49.3
84,Marshall Islands,49
83,Micronesia,48.9
82,Saint Kitts and Nevis,48
81,Grenada,47.7
80,Montenegro,47.6
79,Philippines,47.6
78,Vanuatu,47.4
77,Qatar,47.3
76,Albania,47.2
75,Kyrgyzstan,46.4
74,Samoa,46.3
73,Armenia,46.1
72,Hungary,45.3
71,Botswana,44.9
70,Oman,44.7
69,Barbados,44.4
68,Bosnia and Herzegovina,44
67,Georgia,44
66,Palau,43.5
65,Greece,43.4
64,Panama,43.2
63,Turkmenistan,41.9
62,Maldives,41.8
61,Romania,41.6
60,Mexico,41.3
59,Serbia,41.2
58,Kazakhstan,41
57,Indonesia,40.3
56,Equatorial Guinea,40.2
55,Bulgaria,39.9
54,Slovakia,39.9
53,Seychelles,39.9
52,Algeria,39.6
51,Chile,38.7
50,Tonga,38.5
49,Israel,38.5
48,Italy,38.2
47,Slovenia,38.1
46,Portugal,38
45,Latvia,37.5
44,Croatia,37.4
43,Lithuania,37.4
42,Türkiye,37.3
41,Bahrain,36.4
40,United Kingdom,36.1
39,Spain,35.8
38,Kuwait,35.4
37,Mauritius,34.9
36,Fiji,34.2
35,Viet Nam,34
34,Russian Federation,32.6
33,Malta,31
32,Czech Republic,30.6
31,Malaysia,30.4
30,Poland,30.4
29,Austria,29.7
28,Saudi Arabia,29.6
27,Australia,29.2
26,India,28.1
25,Canada,27.6
24,Ireland,27.6
23,Germany,27.4
22,Guyana,27.3
21,France,27.1
20,Belgium,26.8
19,Luxembourg,26.6
18,New Zealand,26.4
17,Iceland,25.7
16,Finland,25.7
15,Thailand,24.9
14,Tuvalu,23.6
13,Netherlands,23.1
12,Brunei Darussalam,21.4
11,Singapore,20.4
10,United Arab Emirates,19.1
9,Sweden,17.5
8,China,15.4
7,United States of America,14.7
6,Japan,13.7
5,Estonia,12.8
4,Denmark,12.7
3,Switzerland,11.8
2,Korea Republic of,9.4
1,Norway,5.3